win,lose,probability
Utah Jazz,Dallas Mavericks,0.861111456934
Golden State Warriors,Milwaukee Bucks,0.77500577352
Houston Rockets,Oklahoma City Thunder,0.548432604404
Boston Celtics,Phoenix Suns,0.884079885725
Portland Trail Blazers,Los Angeles Clippers,0.705272175384
Detroit Pistons,Atlanta Hawks,0.667590001969
Denver Nuggets,Brooklyn Nets,0.832086433567
Indiana Pacers,Miami Heat,0.509497269535
Washington Wizards,Orlando Magic,0.732551562807
Philadelphia 76ers,Charlotte Hornets,0.813295385462
Minnesota Timberwolves,Sacramento Kings,0.780816561515
Utah Jazz,Boston Celtics,0.646833491637
Cleveland Cavaliers,Chicago Bulls,0.842427144884
Oklahoma City Thunder,Dallas Mavericks,0.824374124881
Golden State Warriors,Brooklyn Nets,0.889702013683
Los Angeles Clippers,Milwaukee Bucks,0.574368867834
Philadelphia 76ers,Memphis Grizzlies,0.88771034356
Miami Heat,Washington Wizards,0.575848088668
New Orleans Pelicans,Phoenix Suns,0.890783746253
Los Angeles Lakers,Sacramento Kings,0.691288904187
Houston Rockets,San Antonio Spurs,0.606089931714
Toronto Raptors,New York Knicks,0.900631496636
Denver Nuggets,Milwaukee Bucks,0.6790875636
Detroit Pistons,Charlotte Hornets,0.577614697399
Houston Rockets,Indiana Pacers,0.873043029393
Los Angeles Lakers,Atlanta Hawks,0.655246356624
Orlando Magic,New York Knicks,0.518463869037
Portland Trail Blazers,Boston Celtics,0.582636168426
Dallas Mavericks,Chicago Bulls,0.643228040777
Golden State Warriors,Los Angeles Clippers,0.565263390093
Utah Jazz,Memphis Grizzlies,0.863517102471
Philadelphia 76ers,Miami Heat,0.624603484516
Minnesota Timberwolves,Brooklyn Nets,0.819098218831
Oklahoma City Thunder,Phoenix Suns,0.889488169506
San Antonio Spurs,Sacramento Kings,0.795447421903
Toronto Raptors,New Orleans Pelicans,0.790384666508
Washington Wizards,Orlando Magic,0.739255101983
Cleveland Cavaliers,Charlotte Hornets,0.71968127999
Houston Rockets,Denver Nuggets,0.572314991629
Golden State Warriors,Atlanta Hawks,0.895928599209
Boston Celtics,Chicago Bulls,0.854359974379
Miami Heat,Brooklyn Nets,0.661422138419
Utah Jazz,Dallas Mavericks,0.839118705375
Portland Trail Blazers,Los Angeles Lakers,0.669654270612
Milwaukee Bucks,Memphis Grizzlies,0.813297885771
Minnesota Timberwolves,New Orleans Pelicans,0.600379941103
Oklahoma City Thunder,New York Knicks,0.813249398615
Philadelphia 76ers,Orlando Magic,0.860865039401
San Antonio Spurs,Phoenix Suns,0.863391801779
Toronto Raptors,Detroit Pistons,0.851082915013
Cleveland Cavaliers,Washington Wizards,0.541177092744
Denver Nuggets,Atlanta Hawks,0.840984233035
Houston Rockets,Golden State Warriors,0.835790166178
Los Angeles Clippers,San Antonio Spurs,0.507110313313
Boston Celtics,Toronto Raptors,0.544838353264
Indiana Pacers,Miami Heat,0.669553155169
Sacramento Kings,Memphis Grizzlies,0.648849861523
Milwaukee Bucks,Chicago Bulls,0.758755016934
Minnesota Timberwolves,Portland Trail Blazers,0.556391400392
New Orleans Pelicans,New York Knicks,0.815253116454
Philadelphia 76ers,Utah Jazz,0.658763016023
Washington Wizards,Brooklyn Nets,0.733522184287
Boston Celtics,Utah Jazz,0.621930400376
Los Angeles Clippers,Brooklyn Nets,0.625230491234
Toronto Raptors,Chicago Bulls,0.89819298369
Philadelphia 76ers,Charlotte Hornets,0.677926660371
Golden State Warriors,Dallas Mavericks,0.846082267574
Houston Rockets,Sacramento Kings,0.948366599159
Indiana Pacers,Atlanta Hawks,0.845561468477
New Orleans Pelicans,Denver Nuggets,0.654745532439
Los Angeles Lakers,Orlando Magic,0.691967688048
Oklahoma City Thunder,Phoenix Suns,0.878341372652
Miami Heat,Los Angeles Lakers,0.623404656586
Minnesota Timberwolves,Memphis Grizzlies,0.851547362468
New York Knicks,Orlando Magic,0.614267777339
San Antonio Spurs,Golden State Warriors,0.511929838477
Portland Trail Blazers,Washington Wizards,0.56737607935
Los Angeles Clippers,Atlanta Hawks,0.685918509919
Boston Celtics,Charlotte Hornets,0.615602271582
Cleveland Cavaliers,Detroit Pistons,0.578787403833
Indiana Pacers,Utah Jazz,0.568192333715
Dallas Mavericks,Memphis Grizzlies,0.639875616513
Milwaukee Bucks,Denver Nuggets,0.54098550347
New Orleans Pelicans,San Antonio Spurs,0.643029435041
Philadelphia 76ers,Phoenix Suns,0.917321842659
Oklahoma City Thunder,Sacramento Kings,0.816249981027
Miami Heat,Brooklyn Nets,0.745405747362
Portland Trail Blazers,New York Knicks,0.80013577389
Toronto Raptors,Orlando Magic,0.871876968818
Washington Wizards,Los Angeles Clippers,0.560068111544
Toronto Raptors,Atlanta Hawks,0.844031238315
Boston Celtics,New York Knicks,0.836471658371
Phoenix Suns,Chicago Bulls,0.527640862252
Indiana Pacers,Charlotte Hornets,0.567858526563
Cleveland Cavaliers,Los Angeles Lakers,0.714942389506
Brooklyn Nets,Dallas Mavericks,0.572251452644
Golden State Warriors,Oklahoma City Thunder,0.696878098787
Houston Rockets,Detroit Pistons,0.913177207901
Portland Trail Blazers,Milwaukee Bucks,0.512166777481
Minnesota Timberwolves,Denver Nuggets,0.608143881193
Philadelphia 76ers,New Orleans Pelicans,0.714068728985
San Antonio Spurs,Memphis Grizzlies,0.845197885619
Utah Jazz,Sacramento Kings,0.856361027904
Boston Celtics,Atlanta Hawks,0.789187240372
Minnesota Timberwolves,Brooklyn Nets,0.684643195158
Miami Heat,Chicago Bulls,0.806543870855
Denver Nuggets,Orlando Magic,0.836172467473
Houston Rockets,Detroit Pistons,0.737291438861
Golden State Warriors,Portland Trail Blazers,0.690825308505
Indiana Pacers,San Antonio Spurs,0.625500431042
Los Angeles Clippers,Memphis Grizzlies,0.800135796511
Utah Jazz,Los Angeles Lakers,0.686443381246
Milwaukee Bucks,Phoenix Suns,0.835224630163
New Orleans Pelicans,New York Knicks,0.769701073889
Oklahoma City Thunder,Charlotte Hornets,0.759618172771
Philadelphia 76ers,Cleveland Cavaliers,0.698629459569
Toronto Raptors,Washington Wizards,0.840498466275
Houston Rockets,Cleveland Cavaliers,0.599179100227
Boston Celtics,Dallas Mavericks,0.83217182379
Golden State Warriors,Sacramento Kings,0.876303924961
Milwaukee Bucks,San Antonio Spurs,0.528190805125
Minnesota Timberwolves,Chicago Bulls,0.805506431576
Oklahoma City Thunder,Denver Nuggets,0.651744625978
New Orleans Pelicans,Washington Wizards,0.522643119742
Charlotte Hornets,Atlanta Hawks,0.635721168284
Philadelphia 76ers,Brooklyn Nets,0.789858480547
Detroit Pistons,Phoenix Suns,0.776940536168
Los Angeles Lakers,Orlando Magic,0.647172200808
New York Knicks,Memphis Grizzlies,0.670480249891
Portland Trail Blazers,Los Angeles Clippers,0.705272175384
Utah Jazz,Sacramento Kings,0.83153723966
Toronto Raptors,Miami Heat,0.817796537901
San Antonio Spurs,Chicago Bulls,0.834920716455
Milwaukee Bucks,Charlotte Hornets,0.502943277362
Cleveland Cavaliers,Minnesota Timberwolves,0.611882317444
Golden State Warriors,Orlando Magic,0.892567040862
New Orleans Pelicans,Boston Celtics,0.598842055464
Utah Jazz,Indiana Pacers,0.69060586489
Houston Rockets,Washington Wizards,0.706661114884
Denver Nuggets,Los Angeles Lakers,0.736965128389
Detroit Pistons,New York Knicks,0.653320156254
Toronto Raptors,Memphis Grizzlies,0.89685216125
Miami Heat,Atlanta Hawks,0.757558474028
Indiana Pacers,Phoenix Suns,0.862218796089
Utah Jazz,Brooklyn Nets,0.750507956049
Charlotte Hornets,Atlanta Hawks,0.711814819058
Houston Rockets,Dallas Mavericks,0.950250986761
Los Angeles Clippers,Phoenix Suns,0.823272432585
Milwaukee Bucks,Chicago Bulls,0.758755016934
Minnesota Timberwolves,San Antonio Spurs,0.595822584744
New Orleans Pelicans,Washington Wizards,0.719542329854
Oklahoma City Thunder,Cleveland Cavaliers,0.627101151386
Philadelphia 76ers,New York Knicks,0.85720206572
Portland Trail Blazers,Orlando Magic,0.842001138048
Indiana Pacers,Los Angeles Lakers,0.630684076563
Los Angeles Clippers,Sacramento Kings,0.7324419064
Toronto Raptors,Golden State Warriors,0.734444699296
Boston Celtics,Cleveland Cavaliers,0.663904550082
Brooklyn Nets,Memphis Grizzlies,0.621485587721
Utah Jazz,Charlotte Hornets,0.627500896704
Detroit Pistons,Chicago Bulls,0.683666649953
Los Angeles Lakers,Dallas Mavericks,0.619268905698
New Orleans Pelicans,Miami Heat,0.507235427583
Oklahoma City Thunder,Atlanta Hawks,0.853526534978
Philadelphia 76ers,Washington Wizards,0.777286652171
Orlando Magic,Phoenix Suns,0.666424403001
Portland Trail Blazers,Denver Nuggets,0.639438257164
Houston Rockets,San Antonio Spurs,0.606089931714
